CO_CID,NO_CID,TP_AGRAVO,TP_SEXO,TP_ESTADIO,VL_CAMPOS_IRRADIADOS
A070,Balantidíase,0,I,N,0000
A071,Giardíase [lamblíase],0,I,N,0000
A072,Criptosporidiose,1,I,N,0000
A073,Isosporíase,0,I,N,0000
A078,Outras doenças intestinais especificadas por protozoários,0,I,N,0000
A079,Doença intestinal não especificada por protozoários,0,I,N,0000
A08,Infecções intestinais virais outras e as não especificadas,0,I,N,0000
A080,Enterite por rotavírus,0,I,N,0000
A081,Gastroenteropatia aguda pelo agente de Norwalk,0,I,N,0000
A082,Enterite por adenovírus,0,I,N,0000
A083,Outras enterites virais,0,I,N,0000
A084,Infecção intestinal devida a vírus não especificado,0,I,N,0000
A085,Outras infecções intestinais especificadas,0,I,N,0000
A09,Diarréia e gastroenterite de origem infecciosa presumível,0,I,N,0000
A15,Tuberculose respiratória com confirmação bacteriológica e histológica,0,I,N,0000
A150,"Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura",1,I,N,0000
A151,"Tuberculose pulmonar, com confirmação somente por cultura",1,I,N,0000
A152,"Tuberculose pulmonar, com confirmação histológica",1,I,N,0000
A153,"Tuberculose pulmonar, com confirmação por meio não especificado",1,I,N,0000
A154,"Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica",1,I,N,0000
A155,"Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica",1,I,N,0000
A156,"Pleuris tuberculoso, com confirmação bacteriológica e histológica",1,I,N,0000
A157,"Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica",1,I,N,0000
A158,"Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica",1,I,N,0000
A159,"Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica",1,I,N,0000
A16,Tuberculose das vias respiratórias sem confirmação bacteriológica ou histológica,1,I,N,0000
A160,Tuberculose pulmonar com exames bacteriológico e histológico negativos,1,I,N,0000
A161,"Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico",1,I,N,0000
A162,"Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica",1,I,N,0000
A163,"Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica",1,I,N,0000
A164,"Tuberculose da laringe, traquéia e brônquios, sem menção de confirm. bacteriológica ou histológica",1,I,N,0000
A165,"Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica",1,I,N,0000
A167,Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica,1,I,N,0000
A168,"Outras formas de tubercul. das vias respirat., sem menção de confirm. bacteriológica ou histológica",1,I,N,0000
A169,"Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica",1,I,N,0000
A17,Meningite tuberculosa,1,I,N,0000
A170,Meningite tuberculosa,1,I,N,0000
A171,Tuberculoma meníngeo,1,I,N,0000
A178,Outras tuberculoses do sistema nervoso,1,I,N,0000
A179,Tuberculose não especificada do sistema nervoso,1,I,N,0000
A18,Tuberculose de outros orgãos,1,I,N,0000
A180,Tuberculose óssea e das articulações,1,I,N,0000
A181,Tuberculose do aparelho geniturinário,1,I,N,0000
A182,Linfadenopatia tuberculosa periférica,1,I,N,0000
A183,"Tuberculose do intestino, do peritônio e dos gânglios mesentéricos",1,I,N,0000
A184,Tuberculose de pele e do tecido celular subcutâneo,1,I,N,0000
A185,Tuberculose do olho,1,I,N,0000
A186,Tuberculose do ouvido,1,I,N,0000
A187,Tuberculose das supra-renais,1,I,N,0000
A188,Tuberculose de outros órgãos especificados,1,I,N,0000
A19,Tuberculose miliar,1,I,N,0000
A190,Tuberculose miliar aguda de localização única e especificada,1,I,N,0000
A191,Tuberculose miliar aguda de múltiplas localizações,1,I,N,0000
A192,Tuberculose miliar aguda não especificada,1,I,N,0000
A198,Outras tuberculoses miliares,1,I,N,0000
A199,Tuberculose miliar não especificada,1,I,N,0000
A20,Peste,2,I,N,0000
A200,Peste bubônica,2,I,N,0000
A201,Peste celulocutânea,2,I,N,0000
A202,Peste pneumônica,2,I,N,0000
A203,Peste meníngea,2,I,N,0000
A207,Peste septicêmica,2,I,N,0000
A208,Outras formas de peste,2,I,N,0000
A209,"Peste, forma não especificada",2,I,N,0000
A21,Tularemia,2,I,N,0000
A210,Tularemia ulceroglandular,2,I,N,0000
A211,Tularemia oculoglandular,2,I,N,0000
A212,Tularemia pulmonar,2,I,N,0000
A213,Tularemia gastrointestinal,2,I,N,0000
A217,Tularemia generalizada,2,I,N,0000
A218,Outras formas de tularemia,2,I,N,0000
A219,"Tularemia, forma não especificada",2,I,N,0000
A22,Carbúnculo,2,I,N,0000
A220,Carbúnculo cutâneo,2,I,N,0000
A221,Carbúnculo pulmonar,2,I,N,0000
A222,Carbúnculo gastrointestinal,2,I,N,0000
A227,Septicemia carbunculosa,2,I,N,0000
A228,Outras formas de carbúnculo,2,I,N,0000
A229,"Carbúnculo, forma não especificada",2,I,N,0000
A23,Brucelose,0,I,N,0000
A230,Brucelose por Brucella Melitensis,1,I,N,0000
A231,Brucelose por Brucella Abortus,1,I,N,0000
A232,Brucelose por Brucella Suis,1,I,N,0000
A233,Brucelose por Brucella Canis,1,I,N,0000
A238,Outras bruceloses,1,I,N,0000
A239,Brucelose não especificada,0,I,N,0000
A24,Mormo e melioidose,0,I,N,0000
A240,Mormo,2,I,N,0000
A241,Melioidose aguda e fulminante,2,I,N,0000
A242,Melioidose subaguda e crônica,1,I,N,0000
A243,Outras melioidoses,1,I,N,0000
A244,Melioidose não especificada,0,I,N,0000
A25,Febres transmitidas por mordedura de rato,0,I,N,0000
A250,Espirilose,0,I,N,0000
A251,Estreptobacilose,0,I,N,0000
A259,"Febre transmitida por mordedura de rato, tipo não especificado",0,I,N,0000
A26,Erisipelóide,0,I,N,0000
A260,Erisipelóide cutâneo,0,I,N,0000
A267,Septicemia por Erysipelothrix,0,I,N,0000
A268,Outras formas de erisipelóide,0,I,N,0000
A269,Erisipelóide não especificado,0,I,N,0000
A27,Leptospirose,1,I,N,0000
A270,Leptopirose icterohemorrágica,1,I,N,0000
A278,Outras formas de leptospirose,1,I,N,0000
A279,Leptospirose não especificada,1,I,N,0000
A28,Doenças bactérianas zoonóticas não classificadas em outra parte,0,I,N,0000
A280,Pasteurelose,0,I,N,0000
A281,Doença por arranhadura do gato,0,I,N,0000
A282,Yersiniose extra-intestinal,0,I,N,0000
A288,Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte,0,I,N,0000
A289,Doença bacteriana zoonótica não especificada,0,I,N,0000
A30,Doença de Hansen (lepra),2,I,N,0000
A300,Hanseníase [lepra] indeterminada,1,I,N,0000
A301,Hanseníase [lepra] tuberculóide,1,I,N,0000
A302,Hanseníase [lepra] tuberculóide borderline,1,I,N,0000
A303,Hanseníase [lepra] dimorfa,1,I,N,0000
A304,Hanseníase [lepra] lepromatosa borderline,1,I,N,0000
A305,Hanseníase [lepra] lepromatosa,1,I,N,0000
A308,Outras formas de hanseníase [lepra],1,I,N,0000
A309,Hanseníase [lepra] não especificada,1,I,N,0000
A31,Outras micobactérias,0,I,N,0000
A310,Infecção pulmonar micobacteriana,0,I,N,0000
A311,Infecção cutânea micobacteriana,0,I,N,0000
A318,Outras infecções micobacterianas,0,I,N,0000
A319,Infecção micobacteriana não especificada,0,I,N,0000
A32,Listeriose (listeriase),0,I,N,0000
A320,Listeriose cutânea,0,I,N,0000
A321,Meningite e meningoencefalite por listéria,0,I,N,0000
A327,Septicemia listeriótica,0,I,N,0000
A328,Outras formas de listeriose,0,I,N,0000
A329,Listeriose não especificada,0,I,N,0000
A33,Tétano do recém-nascido [neonatal],1,I,N,0000
A34,Tétano obstétrico,1,F,N,0000
A35,Outros tipos de tétano,1,I,N,0000
A36,Difteria,1,I,N,0000
A360,Difteria faríngea,1,I,N,0000
A361,Difteria nasofaríngea,1,I,N,0000
A362,Difteria laríngea,1,I,N,0000
A363,Difteria cutânea,1,I,N,0000
A368,Outras formas de difteria,1,I,N,0000
A369,Difteria não especificada,1,I,N,0000
A37,Coqueluche,1,I,N,0000
A370,Coqueluche por Bordetella Pertussis,1,I,N,0000
A371,Coqueluche por Bordetella Parapertussis,1,I,N,0000
A378,Coqueluche por outras espécies da Bordetella,1,I,N,0000
A379,Coqueluche não especificada,1,I,N,0000
A38,Escarlatina,1,I,N,0000
A39,Infecção meningogócica,1,I,N,0000
A390,Meningite meningocócica,1,I,N,0000
A391,Síndrome de Waterhouse-Friderichsen,1,I,N,0000
A392,Meningococcemia aguda,1,I,N,0000
A393,Meningococcemia crônica,1,I,N,0000
A394,Meningococcemia não especificada,1,I,N,0000
A395,Cardite por meningococos,1,I,N,0000
A398,Outras infecções por meningococos,1,I,N,0000
A399,Infecção meningocócica não especificada,1,I,N,0000
A40,Septicemia estreptocócica,0,I,N,0000
A400,Septicemia por Streptococcus do grupo A,0,I,N,0000
A401,Septicemia por Streptococcus do grupo B,0,I,N,0000
A402,Septicemia por Streptococcus do grupo D,0,I,N,0000
A403,Septicemia por Streptococcus pneumonia,0,I,N,0000
A408,Outras septicemias estreptocócicas,0,I,N,0000
A409,Septicemia estreptocócica não especificada,0,I,N,0000
A41,Outras septicemias,0,I,N,0000
A410,Septicemia por staphylococcus aureus,0,I,N,0000
A411,Septicemia por outros estafilococos especificados,0,I,N,0000
A412,Septicemia por estafilococos não especificados,0,I,N,0000
A413,Septicemia por Haemophilus Influenzae,0,I,N,0000
A414,Septicemia por anaeróbios,0,I,N,0000
A415,Septicemia por outros microorganismos gram-negativos,0,I,N,0000
A418,Outras septicemias especificadas,0,I,N,0000
A419,Septicemia não especificada,0,I,N,0000
A42,Actinomicose,0,I,N,0000
A420,Actinomicose pulmonar,0,I,N,0000
A421,Actinomicose abdominal,0,I,N,0000
A422,Actinomicose cervicofacial,0,I,N,0000
A427,Septicemia actinomicótica,0,I,N,0000
A428,Outras formas de actinomicose,0,I,N,0000
A429,Actinomicose não especificada,0,I,N,0000
A43,Nocardiose,0,I,N,0000
A430,Nocardiose pulmonar,0,I,N,0000
A431,Nocardiose cutânea,0,I,N,0000
A438,Outras formas de nocardiose,0,I,N,0000
A439,Nocardiose não especificada,0,I,N,0000
A44,Bartonelose,0,I,N,0000
A440,Bartonelose sistêmica,0,I,N,0000
A441,Bartonelose cutânea e cutâneo-mucosa,0,I,N,0000
A448,Outras formas de bartonelose,0,I,N,0000
A449,Bartonelose não especificada,0,I,N,0000
A46,Erisipela,0,I,N,0000
A48,Doenças bactérianas não classificadas em outra parte,0,I,N,0000
A480,Gangrena gasosa,0,I,N,0000
A481,Doença dos legionários,1,I,N,0000
A482,Doença dos legionários não-pneumônica [febre de Pontiac],1,I,N,0000
A483,Síndrome do choque tóxico,0,I,N,0000
A484,Febre purpúrica do brasil,2,I,N,0000
A488,Outras doenças bacterianas especificadas,0,I,N,0000
A49,Infecção bacteriana de localização não especificada,0,I,N,0000
A490,Infecção estafilocócica de localização não especificada,0,I,N,0000
A491,Infecção estreptocócica de localização não especificada,0,I,N,0000
A492,Infecção por Haemophilus influenzae de localização não especificada,1,I,N,0000
A493,Infecção por Mycoplasma de localização não especificada,0,I,N,0000
A498,Outras infecções bacterianas de localização não especificada,0,I,N,0000
A499,Infecção bacteriana não especificada,0,I,N,0000
A50,sífilis congênita,1,I,N,0000
A500,Sífilis congênita precoce sintomática,1,I,N,0000
A501,"Sífilis congênita precoce, forma latente",1,I,N,0000
A502,Sífilis congênita precoce não especificada,1,I,N,0000
A503,Oculopatia sifilítica congênita tardia,1,I,N,0000
A504,Neurossífilis congênita tardia [neurossífilis juvenil],1,I,N,0000
A505,Outras formas tardias e sintomáticas da sífilis congênita,1,I,N,0000
A506,Sífilis congênita tardia latente,1,I,N,0000
A507,Sífilis congênita tardia não especificada,1,I,N,0000
A509,Sífilis congênita não especificada,1,I,N,0000
A51,sífilis precoce,1,I,N,0000
A510,Sífilis genital primária,1,I,N,0000
A511,Sífilis anal primária,1,I,N,0000
A512,Sífilis primária de outras localizações,1,I,N,0000
A513,Sífilis secundária da pele e das mucosas,1,I,N,0000
A514,Outras formas de sífilis secundária,1,I,N,0000
A515,Sífilis precoce latente,1,I,N,0000
A519,Sífilis precoce não especificada,1,I,N,0000
A52,sífilis tardia,0,I,N,0000
A520,Sífilis cardiovascular,0,I,N,0000
A521,Neurossífilis sintomática,0,I,N,0000
A522,Neurossífilis assintomática,0,I,N,0000
A523,Neurossífilis não especificada,0,I,N,0000
A527,Outras formas de sífilis tardia sintomática,0,I,N,0000
A528,Sífilis tardia latente,0,I,N,0000
A529,Sífilis tardia não especificada,0,I,N,0000
A53,Outras formas e as não especificadas da sífilis,0,I,N,0000
A530,"Sífilis latente, não especificada se recente ou tardia",0,I,N,0000
A539,Sífilis não especificada,1,I,N,0000
A54,Infecção gonocócica,0,I,N,0000
A540,"Infecção gonocócica do trato genitur. inferior, sem abscesso periuretral ou das glândulas acessórias",0,I,N,0000
A541,"Infecção gonocócica do trato genitur. inferior, com abscesso periuretral ou das glândulas acessórias",0,I,N,0000
A542,Pelviperitonite gonocócica e outras infecções geniturinárias gonocócicas,0,I,N,0000
A543,Infecção gonocócica do olho,0,I,N,0000
A544,Infecção gonocócica do sistema músculo-esquelético,0,I,N,0000
A545,Faringite gonocócica,0,I,N,0000
A546,Infecção gonocócica do ânus ou do reto,0,I,N,0000
A548,Outras infecções gonocócicas,0,I,N,0000
A549,Infecção gonocócica não especificada,0,I,N,0000
A55,Linfogranuloma (venéreo) por clamídia,0,I,N,0000
A56,Outras infecções causadas por clamídias transmitidas por via sexual,0,I,N,0000
A560,Infecções por clamídias do trato geniturinário inferior,0,I,N,0000
A561,"Infecção por clamídias, pelviperitonial e de outros órgãos geniturinários",0,I,N,0000
A562,"Infecção por clamídias do trato geniturinário, localização não especificada",0,I,N,0000
A563,Infecção do ânus e do reto por clamídias,0,I,N,0000
A564,Infecção da faringe por clamídias,0,I,N,0000
A568,"Infecção por clamídias transmitida por via sexual, de outras localizações",0,I,N,0000
A57,Cancro mole,0,I,N,0000
A58,Granuloma inguinal,0,I,N,0000
A59,Tricomoniase,0,I,N,0000
A590,Tricomoníase urogenital,0,I,N,0000
A598,Outras localizações de tricomoníase,0,I,N,0000
A599,Tricomoníase não especificada,0,I,N,0000
A60,Infecções anogenitais pelo vírus do herpes (herpes simples),0,I,N,0000
A600,Infecção dos órgãos genitais e do trato geniturinário pelo vírus do herpes,0,I,N,0000
A601,Infecção da margem cutânea do ânus e do reto pelo vírus do herpes,0,I,N,0000
A609,Infecção anogenital não especificada pelo vírus do herpes,0,I,N,0000
A63,Doenças de transmissão predominantemente sexual não classificadas em outra parte,0,I,N,0000
A630,Verrugas anogenitais (venéreas),0,I,N,0000
A638,Outras doenças especificadas de transmissão predominantemente sexual,0,I,N,0000
A64,"Doenças sexualmente transmitidas, não especificadas",0,I,N,0000
A65,Sífilis não-venérea,0,I,N,0000
A66,Bouba,0,I,N,0000
A660,Lesões iniciais da bouba,0,I,N,0000
A661,Papilomas múltiplos e bouba plantar úmida (cravo de bouba),0,I,N,0000
A662,Outras lesões cutâneas precoces da bouba,0,I,N,0000
A663,Hiperceratose devida a bouba,0,I,N,0000
A664,Gomas e úlceras devidas à bouba,0,I,N,0000
A665,Gangosa,0,I,N,0000
A666,Lesões osteoarticulares devidas à bouba,0,I,N,0000
A667,Outras manifestações da bouba,0,I,N,0000
A668,Bouba latente,0,I,N,0000
A669,Bouba não especificada,0,I,N,0000
A67,Pinta (carate),0,I,N,0000
A670,Lesões primárias da pinta,0,I,N,0000
A671,Lesões intermediárias da pinta,0,I,N,0000
A672,Lesões tardias da pinta,0,I,N,0000
A673,Lesões mistas da pinta,0,I,N,0000
A679,Pinta não especificada,0,I,N,0000
A68,Febres recorrentes (borrelioses),0,I,N,0000
A680,Febre recorrente transmitida por piolhos,0,I,N,0000
A681,Febre recorrente transmitida por carrapatos,0,I,N,0000
A689,Febre recorrente não especificada,0,I,N,0000
A69,Outras infecções por espiroquetas,0,I,N,0000
A690,Estomatite ulcerativa necrotizante,0,I,N,0000
A691,Outras infecções de vincent,0,I,N,0000
A692,Doença de Lyme,1,I,N,0000
A698,Outras infecções especificadas por espiroquetas,0,I,N,0000
A699,"Infecção por espiroqueta, não especificada",0,I,N,0000
A70,Infecções causadas por clamídia psittaci,0,I,N,0000
A71,Tracoma,0,I,N,0000
A710,Fase inicial do tracoma,0,I,N,0000
A711,Fase ativa do tracoma,0,I,N,0000
A719,Tracoma não especificado,0,I,N,0000
A74,Doenças causadas por clamídias,0,I,N,0000
A740,Conjuntivite causada por clamídias,0,I,N,0000
A748,Outras doenças causadas por clamídias,0,I,N,0000
A749,Infecção causada por clamídias não especificada,0,I,N,0000
A75,Tifo exantemático,0,I,N,0000
A750,Tifo epidêmico transmitido por piolhos devido a Rickettsia Prowazekii,0,I,N,0000
A751,Tifo recrudescente [doença de Brill],0,I,N,0000
A752,Tifo por Rickettsia Typhi,0,I,N,0000
A753,Tifo por Rickettsia Tsutsugamuchi,0,I,N,0000
A759,Tifo não especificado,0,I,N,0000
A77,Febre maculosa (rickettsioses transmitidas por carrapatos),2,I,N,0000
A770,Febre maculosa por Rickettsia Richettsii,2,I,N,0000
A771,Febre maculosa por Rickettsia Conorii,2,I,N,0000
A772,Febre maculosa devida à Rickettsia Siberica,1,I,N,0000
A773,Febre maculosa devida à Rickettsia Australis,2,I,N,0000
A778,Outras febres maculosas,1,I,N,0000
A779,Febre maculosa não especificada,1,I,N,0000
A78,Febre Q,0,I,N,0000
A79,Outras rickettsioses,2,I,N,0000
A790,Febre das trincheiras,2,I,N,0000
A791,Rickettsiose variceliforme devida à rickettsia akari,2,I,N,0000
A798,Outros tipos de rickettsioses especificadas,2,I,N,0000
A799,Rickettsiose não especificada,2,I,N,0000
A80,Poliomielite aguda,2,I,N,0000
A800,"Poliomielite paralítica aguda, associada ao vírus vacinal",2,I,N,0000
A801,"Poliomielite paralítica aguda, vírus selvagem importado",2,I,N,0000
A802,"Poliomielite paralítica aguda, vírus selvagem indígena",2,I,N,0000
A803,"Poliomielites paralíticas agudas, outras e não especificadas",2,I,N,0000
A804,Poliomielite aguda não-paralítica,2,I,N,0000
A809,Poliomielite aguda não especificada,2,I,N,0000
A81,Infecções por vírus atípicos do sistema nervoso central,0,I,N,0000
A810,Doença de Creutzfeldt-Jakob,1,I,N,0000
A811,Panencefalite esclerosante subaguda,0,I,N,0000
A812,Leucoencefalopatia multifocal progressiva,0,I,N,0000
A818,Outras infecções por vírus atípicos do sistema nervoso central,0,I,N,0000
A819,Infecção não especificada do sistema nervosos central por vírus atípicos,0,I,N,0000
A82,Raiva,2,I,N,0000
A820,Raiva silvestre,2,I,N,0000
A821,Raiva urbana,2,I,N,0000
A829,Raiva não especificada,2,I,N,0000
A83,Encefalite por vírus transmitidos por mosquitos,0,I,N,0000
A830,Encefalite japonesa,2,I,N,0000
A831,Encefalite eqüina ocidental,2,I,N,0000
A832,Encefalite eqüina oriental,2,I,N,0000
A833,Encefalite de St. Louis,2,I,N,0000
A834,Encefalite australiana,1,I,N,0000
A835,Encefalite da califórnia,1,I,N,0000
A836,Doença pelo vírus de rocio,2,I,N,0000
A838,Outras encefalites por vírus transmitidas por mosquitos,1,I,N,0000
A839,Encefalite não especificada por vírus transmitida por mosquitos,1,I,N,0000
A84,Encefalite por vírus transmitido por carrapatos,0,I,N,0000
A840,Encefalite da taiga [encefalite vernoestival russa],0,I,N,0000
A841,Encefalite da europa central transmitida por carrapatos,0,I,N,0000
A848,Outras encefalites por vírus transmitidas por carrapatos,0,I,N,0000
A849,Encefalite não especificada por vírus transmitida por carrapatos,0,I,N,0000
A85,Outras encefalites virais não classificadas em outra parte,0,I,N,0000
A850,Encefalite por enterovírus,0,I,N,0000
A851,Encefalite por adenovírus,0,I,N,0000
A852,"Encefalite por vírus transmitido por artrópodes, não especificada",0,I,N,0000
A858,Outras encefalites virais especificadas,0,I,N,0000
A86,"Encefalite viral, não especificada",0,I,N,0000
A87,Meningite viral,0,I,N,0000
A870,Meningite por enterovírus,0,I,N,0000
A871,Meningite por adenovírus,0,I,N,0000
A872,Coriomeningite linfocitária,0,I,N,0000
A878,Outras meningites virais,0,I,N,0000
A879,Meningite viral não especificada,0,I,N,0000
A88,Outras infecções virais do sistema nervoso central não classificadas em outra parte,0,I,N,0000
A880,Febre exantemática por enterovírus [exantema de boston],0,I,N,0000
A881,Vertigem epidêmica,0,I,N,0000
A888,Outras infecções virais especificadas do sistema nervoso central,0,I,N,0000
A89,Infecções virais não especificadas do sistema nervoso central,0,I,N,0000
A90,Dengue [dengue clássico],1,I,N,0000
A91,Febre hemorrágica devida ao vírus do dengue,1,I,N,0000
A92,Outras febres virais transmitidas por mosquitos,0,I,N,0000
A920,Febre de Chikungunya,2,I,N,0000
A921,Febre de O-Nyong-Nyong,0,I,N,0000
A922,Febre eqüina venezuelana,2,I,N,0000
A923,Infecção pelo vírus West Nile,2,I,N,0000
A924,Febre do vale do Rift,0,I,N,0000
A928,Outras febres virais especificadas transmitidas por mosquitos,2,I,N,0000
A929,"Febre viral transmitida por mosquitos, não especificada",0,I,N,0000
A93,Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte,0,I,N,0000
A930,Febre de oropouche,2,I,N,0000
A931,Febre por flebótomos,0,I,N,0000
A932,Febre do colorado transmitida por carrapatos,0,I,N,0000
A938,Outras febres virais especificadas transmitidas por artrópodes,2,I,N,0000
A94,"Febre viral transmitida por artrópodes, não especificada",0,I,N,0000
A95,Febre amarela,0,I,N,0000
A950,Febre amarela silvestre,2,I,N,0000
A951,Febre amarela urbana,2,I,N,0000
A959,Febre amarela não especificada,2,I,N,0000
A96,Febre hemorrágica por arenavírus,2,I,N,0000
A960,Febre hemorrágica de Junin,2,I,N,0000
A961,Febre hemorrágica de Machupo,2,I,N,0000
A962,Febre de Lassa,2,I,N,0000
A968,Outras febres hemorrágicas por arenavírus,2,I,N,0000
A969,"Febre hemorrágica por arenavírus, não especificada",2,I,N,0000
A98,Outras febres hemorrágicas por vírus não classificadas em outra parte,0,I,N,0000
A980,Febre hemorrágica da Criméia (do Congo),0,I,N,0000
A981,Febre hemorrágica de Omsk,0,I,N,0000
A982,Doença da floresta de Kyasanur,0,I,N,0000
A983,Doença de Marburg,2,I,N,0000
A984,Doença pelo vírus ebola,2,I,N,0000
A985,Febre hemorrágica com síndrome renal,2,I,N,0000
A988,Outras febres hemorrágicas especificadas por vírus,1,I,N,0000
A99,Febres hemorrágicas virais não especificadas,0,I,N,0000
B00,Infecções pelo vírus do herpes (herpes simples),0,I,N,0000
B000,Eczema herpético,0,I,N,0000
B001,Dermatite vesicular devido ao vírus do herpes,0,I,N,0000
B002,Gengivoestomatite e faringoamigdalite devida ao vírus do herpes,0,I,N,0000
B003,Meningite devida ao vírus do herpes,0,I,N,0000
B004,Encefalite devida ao vírus do herpes,0,I,N,0000
B005,Afecções oculares devidas ao vírus do herpes,0,I,N,0000
B007,Doença disseminada devida ao vírus do herpes,0,I,N,0000
B008,Outras formas de infecção devida ao vírus do herpes,0,I,N,0000
B009,Infecção não especificada devida ao vírus do herpes,0,I,N,0000
B01,Varicela,1,I,N,0000
B010,Meningite por varicela,1,I,N,0000
B011,Encefalite por varicela,1,I,N,0000
B012,Pneumopatia varicelosa,1,I,N,0000
B018,Varicela com outras complicações,1,I,N,0000
B019,Varicela sem complicação,1,I,N,0000
B02,Herpes Zoster (zona),1,I,N,0000
B020,Encefalite pelo vírus do herpes zoster,1,I,N,0000
B021,Meningite pelo vírus do herpes zoster,2,I,N,0000
B022,Herpes Zoster acompanhado de outras manifestações neurológicas,1,I,N,0000
B023,Herpes Zoster oftálmico,1,I,N,0000
B027,Herpes Zoster disseminado,1,I,N,0000
B028,Herpes Zoster com outras complicações,1,I,N,0000
B029,Herpes Zoster sem complicação,1,I,N,0000
B03,Varíola,2,I,N,0000
B04,Varíola dos macacos [Monkeypox],2,I,N,0000
B05,Sarampo,2,I,N,0000
B050,Sarampo complicado por encefalite,2,I,N,0000
B051,Sarampo complicado por meningite,2,I,N,0000
B052,Sarampo complicado por pneumonia,1,I,N,0000
B053,Sarampo complicado por otite média,2,I,N,0000
B054,Sarampo com complicações intestinais,2,I,N,0000
B058,Sarampo com outras complicações,2,I,N,0000
B059,Sarampo sem complicação,2,I,N,0000
B06,Rubéola,2,I,N,0000
B060,Rubéola com complicações neurológicas,2,I,N,0000
B068,Rubéola com outras complicações,2,I,N,0000
B069,Rubéola sem complicação,2,I,N,0000
B07,Verrugas de origem viral,0,I,N,0005
